start_date,branch,barcode,name,stock_start,promo_price
2026-08-06,ML3,8859214535943,CF07 อ.แมวโต ทูน่าเนื้อแดงคัตสึโอะบูชิ 400g,95.0,27
2026-08-06,ML3,8859214523827,CF71 อ.เปียกสุนัข รสเนื้อและตับ 400g,63.0,27
2026-08-06,ML3,8859214523834,CF72 อ.เปียกสุนัข รสไก่ผัก 400g,64.0,27
2026-08-06,ML3,8859214523841,CF73 อ.เปียกสุนัข รสเป็ดย่าง 400g,64.0,27
2026-08-06,ML3,8859214523858,CF74 อ.เปียกสุนัข รสแกะรมควัน 400g,64.0,27
2026-08-06,ML3,8859214523865,CF75 อ.เปียกสุนัข รสไก่งวงรมควัน 400g,64.0,27
2026-08-06,ML3,8859214532843,PC60 CattyCat เปียกไก่ฉีกเกรวี่ 75g,175.0,11
2026-08-06,ML3,8859214534755,RC301 Raptor แมวรสปลาทู 1 mix 1kg,76.0,33
2026-08-06,ML3,8857127849287,CT (J7) ทูน่าหน้าปูอัดเยลลี่ 70g,163.0,13
2026-08-06,ML3,8851495011611,CG แชมพูคอมเพล็ค สุนัขขนยาว ม่วง 300ml,30.0,66
2026-08-06,ML3,8851495004293,CG แชมพูลูกสุนัขเชนการ์ด 350ml ชมพู,18.0,85
2026-08-06,ML3,8851495001902,CG แชมพูสุนัขเชนการ์ด ลดอาการคัน 350ml เขียว,18.0,85
2026-08-06,ML3,8851495008291,เชนไดร้ท์ มดมอดแมลงสาบ 450ml,15.0,90
2026-08-06,ML3,6921461702002,(1) CheerShare Mother&Baby 1.2kg,6.0,330
2026-08-06,ML3,6921461702019,CheerShare Mother&Baby 10kg.,1.0,1764
2026-08-06,ML3,6921461723458,CheerShare Rice Meat Grain free 6.8kg,2.0,1372
2026-08-06,ML3,745240065623,Two Two ทรายภูเขาไฟเกาหลี (นาโน เฟรช) 10L,6.0,252
2026-08-06,ML3,8850124010179,Friskies (1) อ.เปียกแมวโต รสไก่ในเกรวี่ เขียว 70g,166.0,11
2026-08-06,ML3,8850124010230,Friskies (2) อ.เปียกแมวโต รสทูน่าในเกรวี่ ม่วง 70g,170.0,11
2026-08-06,ML3,8850124010261,Friskies (3) อ.เปียกแมวโต รสปลาทะเลในเกรวี่ ฟ้า 70g,195.0,11
2026-08-06,ML3,8850124010629,Friskies (4) อ.เปียกลูกแมว รสไก่ในเกรวี่ ชม 70g,150.0,11
2026-08-06,ML3,8850125073050,Friskies เพียวริน่า ซีฟู้ด 17kg,3.0,1160
2026-08-06,ML3,8850125085107,Friskies เพียวริน่า ปลาทะเล 17kg,3.0,1296
2026-08-06,ML3,8859861801392,6L Mypaws ทรายเต้าหู้ กาแฟ 6L,12.0,142
2026-08-06,ML3,8859861800104,6L Mypaws ทรายเต้าหู้ ชาโคล 6L,11.0,142
2026-08-06,ML3,8859861803570,6L Mypaws ทรายเต้าหู้ ซัมเมอร์วินเทอร์ 6L,12.0,159
2026-08-06,ML3,8859861803563,6L Mypaws ทรายเต้าหู้ บับเบิ้ล บริส 6L,12.0,159
2026-08-06,ML3,8859861801064,6L Mypaws ทรายเต้าหู้ ออริจินอล 6L,12.0,142
2026-08-06,ML3,8851111049042,(1) Ginno อ.เม็ด ผสมเนื้อไก่ฟรีซดราย (นง) 1kg ,14.0,187
2026-08-06,ML3,8851111013036,GINNO (11) รสปลาทูน่าหน้าไข่ตุ๋นและสาหร่ายในเยลลี่ 60g.,124.0,15
2026-08-06,ML3,8851111013050,GINNO (12) รสปลาทูน่าหน้าคานิคามะในเยลลี่ 60g.,129.0,15
2026-08-06,ML3,8851111013074,GINNO (13) รสปลาทูน่าหน้ากุ้งในเยลลี่ 60g.,125.0,15
2026-08-06,ML3,4520699696262,MC704 Spoon ทูนามากุโระ คัตทสึโอะ 10g*4,44.0,47
2026-08-06,ML3,8857124053274,Catster 20 ฟรีสดรายแซลมอน 40g,24.0,68
2026-08-06,ML3,8859826910442,(1) MYPAL อ.สุนัข รสเนื้อ (สีเขียว) 1kg,109.0,35
2026-08-06,ML3,8859826910459,(1) MYPAL อ.สุนัข รสไก่ (สีส้ม) 1kg,115.0,35
2026-08-06,ML3,8857200422727,JOMO อ.สุนัข รสแกะและข้าว 2kg,9.0,248
2026-08-06,ML3,8857200422796,JOMO อ.แมว แซลมอนมันฝรั่ง 1.5kg,8.0,200
2026-08-06,ML3,8859739230309,(5) KANDY อ.เปียก ไก่แซลมอนเยลลี่ 70g,131.0,15
2026-08-06,ML3,8859739230323,(7) KANDY อ.เปียก ทูน่าเนื้อขาวเนื้อปูเยลลี่ 70g,108.0,15
2026-08-06,ML3,8859739211667,(JB03) Kaniva อ.เปียก แซลมอน 130g,112.0,18
2026-08-06,ML3,8859739210875,Kaniva แมวเลีย เนื้อไก่ครีมมี่ 15g,181.0,10
2026-08-06,ML3,8859739210387,KANIVA (37)Skin Coat 2.8kg.,4.0,420
2026-08-06,ML3,8859739210325,KANIVA (38)Growth Balance 2.8kg,7.0,431
2026-08-06,ML3,8859739212732,KANIVA (39)Fit&Active 3.2kg.,4.0,367
2026-08-06,ML3,8859739210295,KANIVA (82-1)สูตรเนื้อไก่ทูน่าและข้าว 1kg.,30.0,116
2026-08-06,ML3,8859739210271,KANIVA (83-1)สูตรแกะ ทูน่า ข้าว 1kg.,18.0,138
2026-08-06,ML3,8859739210288,KANIVA (84-1)แซลมอนทูน่าและข้าว 1kg.,18.0,136
2026-08-06,ML3,8859739212763,KANIVA (89-1)Fit&Active 1kg.,20.0,112
2026-08-06,ML3,8859739220485,Kanimal (K1) อ.แมว รสไก่ 1 kg ,21.0,93
2026-08-06,ML3,8859739221529,Kanimal (K2) อ.แมว รสแกะ 1kg ,27.0,93
2026-08-06,ML3,8859739221437,Kanimal (K7) อ.แมว แม่และลูก 800g ,36.0,93
2026-08-06,ML3,8859739203396,4L KASTY POP (41)CASSAVA-ORIGINAL 4L.,24.0,84
2026-08-06,ML3,8859739210639,KANIVA (D3) อ.สุนัข แซลมอน ทูน่า ข้าว 11kg,3.0,1368
2026-08-06,ML3,8859653204325,Lifemate แซมพู สูตรขนนุ่ม 250 ml,8.0,175
2026-08-06,ML3,8859601031003,LOLA&CO RM01 ลูกแมวทูน่า 80g.,147.0,13
2026-08-06,ML3,8859601031041,LOLA&CO RM05 ทูน่าหน้าชีสในเจลลี่ 80g.,115.0,13
2026-08-06,ML3,8859601030402,LOLACO EYE WIPES สุนัขและแมว 120แผ่น,16.0,102
2026-08-06,ML3,8850477516403,ME-O อ.เปียก ปลาซาดีน 400g,54.0,27
2026-08-06,ML3,8850477033962,MEO (14) 80g แม่และลูก,132.0,15
2026-08-06,ML3,8850477034471,MEO (16) 80g.รสปลารสปลาย่าง,45.0,17
2026-08-06,ML3,8850477026285,MEO(D11)70g.ปลาทูน่าและไก่ฉีกในน้ำเกรวี่,105.0,16
2026-08-06,ML3,8850477026322,MEO(D6)70g.ปลาทูน่าแซลมอนในน้ำเกรวี่,86.0,17
2026-08-06,ML3,8850477005563,MEO(DK3)70g. ลูก ไก่มูสนมแพะแซลมอน,132.0,17
2026-08-06,ML3,8859716300414,NEEZ+Lite 10kg,2.0,1050
2026-08-06,ML3,3661103067344-1,NEXGARD 2-4kg ขาวส้ม,8.0,186
2026-08-06,ML3,8850477018129,OTM อาหารปลาคราฟ HIPRO 6%(S) 7kg.,2.0,758
2026-08-06,ML3,8850477164154,OTM อาหารปลาคราฟ HIPRO(L) 15kg.,1.0,1505
2026-08-06,ML3,8859228600316,CORDITAB HEART SUPPORT (หัวใจ) 25 TAB,11.0,132
2026-08-06,ML3,9310022726408,PDG Home Style สุนัขโต เนื้อบด  400g,31.0,48
2026-08-06,ML3,9310022735905,PDG Home Style สุนัขโต เนื้อในน้ำซอส 400g,38.0,48
2026-08-06,ML3,9310022726507,PDG สุนัขโต Adult รสไก่บด 400g น้ำเงิน,34.0,50
2026-08-06,ML3,8859104006423,Perfecta ซอฟ มีทตี้ รสไก่อบ 500g,10.0,145
2026-08-06,ML3,8852523016158,DA71 ทรายเต้าหู้ ออริจินอล 20L,4.0,322
2026-08-06,ML3,8852523016523,DA73 ทรายเต้าหู้ ชาเขียว 20L,4.0,322
2026-08-06,ML3,8852523016172,DA74 ทรายเต้าหู้ แคนตาลูป 20L,4.0,322
2026-08-06,ML3,8852523016165,DA75 ทรายเต้าหู้ องุ่น 20L,4.0,322
2026-08-06,ML3,8852523016530,DA76 ทรายเต้าหู้เกล็ด บับเบิ้ลกัม 18L,4.0,322
2026-08-06,ML3,8852523010002,MT02 BeTick หยอดเห็บหมัด >10-20kg,43.0,34
2026-08-06,ML3,8852523010019,MT03 BeTick หยอดเห็บหมัด >20-40kg,45.0,42
2026-08-06,ML3,745760629862,PP DENTAL GEL เจลดูแลสุขภาพปากและฟันแมว,5.0,261
2026-08-06,ML3,8850753996226,ผ้าหนึบอเนกประสงค์ (คละลาย),14.0,157
